TYPE,LICENSEE,PROGRAM NAME,AUTHORIZATION,"LICENSING 
DEPARTMENT",BEDS,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,CERTIFICATE NUMBER,STATE,LOCATION
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 7,Approved,CDSS,2,Kern,Unknown,California City,93505,MH/15/07/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 5,Approved,CDSS,2,Kern,Unknown,California City,93505,MH/15/05/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 6,Approved,CDSS,2,Kern,Unknown,California City,93505,MH/15/06/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 4,Approved,CDSS,2,Kern,Unknown,California City,93505,MH/15/04/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 3,Approved,CDSS,2,Kern,Unknown,California City,93505,MH/15/03/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones 2,Approved,CDSS,2,Kern,Unknown,"California
City",93505,MH/15/02/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Beloved Ones,Beloved Ones,Approved,CDSS,2,Kern,Unknown,"California
City",93505,MH/15/01/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Berhe Group Home Inc,Berhe Group Homes,Approved,CDSS,6,San Bernardino,Unknown,San Bernardino,92411,MH/36/23/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Berhe Group Home Inc,Berhe Group Homes,Approved,CDSS,6,San Bernardino,Unknown,Fontana,92335,MH/36/24/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Berhe Group Home Inc,Berhe Group Homes,Approved,CDSS,6,San Bernardino,Unknown,Fontana,92335,MH/36/20/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Berhe Group Home Inc,Berhe Group Homes,Approved,CDSS,6,San Bernardino,Unknown,Fontana,92335,MH/36/21/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Berhe Group Home Inc,Berhe Group Homes,Approved,CDSS,6,San Bernardino,Unknown,San Bernardino,92404,MH/36/22/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Blissful Living Group Home Inc,Blissful Living Group Home Inc,Approved,CDSS,6,San Bernardino,Unknown,Upland,91786,MH/36/05/22,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Bourne Inc,Bourne Inc - Hill,Approved,CDSS,6,Los Angeles,Unknown,Pasadena,91104,MH/19/05/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Bourne Inc,Bourne Inc - La Corona,Approved,CDSS,6,Los Angeles,Unknown,Altadena,91001,MH/19/07/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Boys Republic,Boys Republic Monrovia Residence,Approved,CDSS,6,Los Angeles,Unknown,Monrovia,91016,MH/19/01/24,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Boys Republic,Boys Republic Mccormick Strtp,Approved,CDSS,16,San Bernardino,Unknown,Chino Hills,91761,MH/36/09/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Boys Republic,Boys Republic Ilp Strtp,Approved,CDSS,12,San Bernardino,Unknown,Chino Hills,91761,MH/36/06/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Boys Republic,Boys Republic Graves Strtp,Approved,CDSS,16,San Bernardino,Unknown,Chino Hills,91761,MH/36/07/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Boys Republic,Boys Republic Laws Strtp,Approved,CDSS,16,San Bernardino,Unknown,Chino Hills,91761,MH/36/08/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Boys Republic,Girls Republic,Approved,CDSS,8,Los Angeles,Unknown,Monrovia,91016,MH/19/07/19,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Brighter Horizon Group Homes Inc,Brighter Horizon Treatment Center: Cedar,Approved,CDSS,6,Riverside,Unknown,Riverside,92505,MH/33/02/25,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Brighter Horizon Group Homes Inc,Brighter Horizon Treatment Center: Sequoia,Approved,CDSS,6,Kern,Unknown,Bakersfield,93313,MH/15/11/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Brighter Horizon Group Homes Inc,Brighter Horizon Treatment Center: Magnolia,Approved,CDSS,6,Kern,Unknown,Bakersfield,93311,MH/15/12/23,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Ca Family Life Center,Cflc-Sunset House,Approved,CDSS,6,Riverside,Unknown,Hemet,92544,MH/33/04/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Ca Family Life Center,Cflc-Hemet Ranch,Approved,CDSS,16,Riverside,Unknown,Hemet,92544,MH/33/02/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Ca Family Life Center,Cflc-Hemet House,Approved,CDSS,6,Riverside,Unknown,Hemet,92544,MH/33/03/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Cameron Youth Home Facilities Inc,Wendell House,Approved,CDSS,6,Kern,Unknown,Bakersfield,93311,MH/15/07/20,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Cameron Youth Home Facilities Inc,Cameron Youth Home,Approved,CDSS,6,Kern,Unknown,Bakersfield,93311,MH/15/06/20,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Casa De Amparo Inc,Casa De Amparo,Approved,CDSS,16,San Diego,Unknown,San Marcos,92069,MH/37/01/22,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Casa De Amparo Inc,Casa De Amparo,Approved,CDSS,16,San Diego,Unknown,San Marcos,92069,MH/37/05/20,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Casa Pacifica Centers For Children And Families,Casa Pacifica Center For Children And Families,Approved,CDSS,10,Ventura,Unknown,Camarillo,93012,MH/56/01/25,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),Catholic Charities - Cyo,San Francisco Boys And Girls/ Shelter,Approved,CDSS,8,San Francisco,Unknown,San Francisco,94121,MH/38/02/18,California,"San Francisco, California"
STRTP (Short-Term Residential Therapeutic Program),Catholic Charities - Cyo,San Francisco Boys And Girls Home - Euclid House,Approved,CDSS,8,San Francisco,Unknown,San Francisco,94118,MH/38/03/18,California,"San Francisco, California"
STRTP (Short-Term Residential Therapeutic Program),Center For Positive Changes,Center For Positive Changes 2,Approved,CDSS,6,San Diego,Unknown,San Diego,92114,MH/37/01/25,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Center For Positive Changes,Center For Positive Changes 7,Approved,CDSS,6,San Diego,Unknown,San Diego,92114,MH/37/03/24,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Center For Positive Changes,Center For Positive Changes 3,Approved,CDSS,6,San Diego,Unknown,El Cajon,92020,MH/37/04/21 ,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Center For Positive Changes,First Step Treatment Home,Approved,CDSS,6,San Diego,Unknown,Spring Valley,91977,MH/37/06/21,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Center For Positive Changes,Center For Positive Changes 5,Approved,CDSS,6,San Diego,Unknown,Oceanside,92057,MH/37/05/21,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Center For Positive Changes,Center For Positive Changes,Approved,CDSS,6,San Diego,Unknown,Spring Valley,91977,MH/37/02/21,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Changing Faces Inc,Changing Faces Inc,Approved,CDSS,8,Santa Barbara,Unknown,Santa Maria,93455,MH/42/01/22,California,"Santa Barbara, California"
STRTP (Short-Term Residential Therapeutic Program),Changing Faces Inc,Agape Homes Orcutt,Approved,CDSS,6,Santa Barbara,Unknown,Santa Maria,93455,MH/42/02/22,California,"Santa Barbara, California"
STRTP (Short-Term Residential Therapeutic Program),Chastella Inc,Stella Maris Growth Center 3,Approved,CDSS,6,Riverside,Unknown,"Moreno
Valley",92555,MH/33/02/23,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Chastella Inc,Stella Maris Growth Center 2,Approved,CDSS,6,Riverside,Unknown,"Moreno
Valley",92553,MH/33/01/23,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Children'S Home Of Stockton,Children'S Home Of Stockton Tri-Plex,Approved,CDSS,16,San Joaquin,Unknown,Stockton,95205,MH/39/04/19,California,"San Joaquin, California"
STRTP (Short-Term Residential Therapeutic Program),Children'S Hope Group Home,Children'S Hope Group Home,Approved,CDSS,6,San Bernardino,Unknown,Upland,91784,MH/36/19/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Children'S Receiving Home Of Sacramento Inc,Children'S Receiving Home Of Sacramento,Approved,CDSS,16,Sacramento,Unknown,Sacramento,95821,MH/34/17/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Community Access Network Inc,Youth Development Center,Approved,CDSS,6,Riverside,Unknown,Perris,92570,MH/33/10/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Community Access Network Inc,Community Access Network Youth Dev Ctr Steps,Approved,CDSS,6,Riverside,Unknown,Riverside,92503,MH/33/09/19,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Core Conditions Inc,Cci Brawley,Approved,CDSS,6,Fresno,Unknown,Fresno,93706,1014,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),County Of Sonoma Human Services Department Fy&C S,Valley Of The Moon Strtp,Approved,CDSS,16,Sonoma,Unknown,Santa Rosa,95409,MH/49/01/24,California,"Sonoma, California"
STRTP (Short-Term Residential Therapeutic Program),Courage To Change,Courage To Change,Approved,CDSS,16,Tulare,Unknown,Exeter,93221,MH/54/01/18,California,"Tulare, California"
STRTP (Short-Term Residential Therapeutic Program),Creative Alternatives Inc,Wake Forest,Approved,CDSS,6,Merced,Unknown,Merced,95348,MH/24/03/19,California,"Merced, California"
STRTP (Short-Term Residential Therapeutic Program),Creative Alternatives Inc,Merced Ranch,Approved,CDSS,8,Merced,Unknown,Merced,95340,MH/24/01/19,California,"Merced, California"
STRTP (Short-Term Residential Therapeutic Program),Creative Alternatives Inc,Tuolumne Inn,Approved,CDSS,8,Stanislaus,Unknown,Turlock,95380,MH/50/10/18,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Creative Alternatives Inc,Berkeley Lodge,Approved,CDSS,8,Stanislaus,Unknown,Turlock,95382,MH/50/05/18,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Creative Alternatives Inc,Berkeley Cottage,Approved,CDSS,8,Stanislaus,Unknown,Turlock,95382,MH/50/06/18,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Creative Alternatives Inc,Bear Creek,Approved,CDSS,6,Merced,Unknown,Merced,95340,MH/24/01/18,California,"Merced, California"
STRTP (Short-Term Residential Therapeutic Program),Cultural Awarenes Inc,Alana'S House,Approved,CDSS,6,Contra Costa,Unknown,Antioch,94531,MH/01/06/22,California,"Contra Costa, California"
STRTP (Short-Term Residential Therapeutic Program),Dangerfield Institution Of Urban Problems,Dangerfield Home 4,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90008,MH/19/02/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Dangerfield Institution Of Urban Problems,Dangerfield Home 3,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90062,MH/19/03/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Dangerfield Institution Of Urban Problems,Dangerfield Home 2,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90062,MH/19/04/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Dangerfield Institution Of Urban Problems,Dangerfield Home 1,Approved,CDSS,6,Los Angeles,Unknown,Los Angeles,90043,MH/19/13/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Diakonia Inc,Maywright Group Home,Approved,CDSS,6,San Bernardino,Unknown,Rialto,92376,MH/36/03/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Diakonia Inc,Home Of Excellence,Approved,CDSS,6,San Bernardino,Unknown,Rialto,92376,MH/36/02/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Diakonia Inc,Achieve Residential Center,Approved,CDSS,6,San Bernardino,Unknown,Rialto,92376,MH/36/01/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Dignity Community Support Services,Dignity Strtp,Approved,CDSS,6,San Bernardino,Unknown,Rancho Cucamonga,91739,MH/36/01/25,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Dn Associates,Dn Associates- Polk,Approved,CDSS,6,Fresno,Unknown,Fresno,93722,1015,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Dn Associates,Dn Associates- Blythe,Approved,CDSS,6,Fresno,Unknown,Fresno,93722,1096,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Door To Hope,Santa Lucia Program,Approved,CDSS,6,Monterey,Unknown,Salinas,93906,MH/27/01/20,California,"Monterey, California"
STRTP (Short-Term Residential Therapeutic Program),Downs & Martin Children Services,Downs & Martin Children Services 2,Approved,CDSS,6,Riverside,Unknown,Riverside,92504,MH/33/01/25,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Downs & Martin Children Services,Downs & Martin Children Services,Approved,CDSS,6,San Bernardino,Unknown,Ontario,91762,MH/36/03/21,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Dream Home Care Inc,Dream Home Care Inc 3,Approved,CDSS,6,Los Angeles,Unknown,Carson,90746,MH/19/09/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Dream Home Care Inc,Dream Home Care Inc,Approved,CDSS,6,Los Angeles,Unknown,Carson,90745,MH/19/10/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Dream Home Care Inc,Dream Home Care Inc 5,Approved,CDSS,4,Los Angeles,Unknown,Torrance,90502,MH/19/11/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),East Valley Charlee Inc,Santa Maria Home,Approved,CDSS,6,San Bernardino,Unknown,Yucaipa,92399,MH/36/04/22,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),East Valley Charlee Inc,Pinta Home,Approved,CDSS,6,San Bernardino,Unknown,Yucaipa,92399,MH/36/03/22,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston Youth Center 5,Approved,CDSS,4,Los Angeles,Unknown,Pomona,91767,MH/19/07/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston Youth Center 2,Approved,CDSS,6,Los Angeles,Unknown,Baldwin Park ,91706,MH/19/06/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston Youth Center 1,Approved,CDSS,6,Los Angeles,Unknown,Baldwin Park,91706,MH/19/08/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston Transitional Group Home,Approved,CDSS,6,Los Angeles,Unknown,Pomona,91766,MH/19/05/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston- La Verne 2,Approved,CDSS,6,Los Angeles,Unknown,Pomona,91767,MH/19/04/20,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston Upland Group Home,Approved,CDSS,6,San Bernardino,Unknown,Upland,91786,MH/36/01/20,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Eggleston Youth Centers Inc,Eggleston Ontario Strtp,Approved,CDSS,6,San Bernardino,Unknown,Ontario,91762,MH/36/02/20,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Elite Family Systems Inc,Elite Family Systems Inc- Leslie Home,Approved,CDSS,6,Stanislaus,Unknown,Ceres,95307,MH/50/03/22,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Elite Family Systems Inc,Elite Family Systems Inc- Scoffield Home,Approved,CDSS,6,Stanislaus,Unknown,Ceres,95307,MH/50/04/22,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Elite Family Systems Inc,Elite Family Systems Inc- Banyan Home,Approved,CDSS,6,Stanislaus,Unknown,Ceres,95307,MH/50/01/22,California,"Stanislaus, California"
STRTP (Short-Term Residential Therapeutic Program),Environmental Alternatives,Environmental Alternatives-Diamond Peak,Approved,CDSS,10,Lassen,Unknown,Susanville,96130,MH/18/01/21,California,"Lassen, California"
STRTP (Short-Term Residential Therapeutic Program),Environmental Alternatives,Environmental Alternatives Losh,Approved,CDSS,6,San Joaquin,Unknown,Lodi,95240,MH/39/001/2024,California,"San Joaquin, California"
STRTP (Short-Term Residential Therapeutic Program),Environmental Alternatives,Ea Nighthawk Strtp,Approved,CDSS,6,Butte,Unknown,Chico,95973,MH/04/02/20,California,"Butte, California"
STRTP (Short-Term Residential Therapeutic Program),Environmental Alternatives,Environmental Alternatives - Butte Valley,Approved,CDSS,6,Butte,Unknown,Richvale,95974,MH/04/01/20,California,"Butte, California"
STRTP (Short-Term Residential Therapeutic Program),Ettie Lee Homes Inc,Ettie Lee-Robertson Memorial Home,Approved,CDSS,12,San Bernardino,Unknown,Redlands,92373,MH/36/16/19,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Ettie Lee Homes Inc,Ettie Lee Homes-Diamond L Ranch,Approved,CDSS,9,San Bernardino,Unknown,Bloomington,92316,MH/36/15/19,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Ettie Lee Homes Inc,Ettie Lee Home-Fontana Home,Approved,CDSS,10,San Bernardino,Unknown,Fontana,92336,MH/36/17/19,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Father'S Heart Ranch,Father'S Heart Ranch,Approved,CDSS,16,Riverside,Unknown,Desert Hot Springs,92241,MH/33/01/20,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Fields Comprehensive Youth Services,Fields Comprehensive Youth Services 2,Approved,CDSS,6,San Bernardino,Unknown,Upland,91786,MH/36/04/20,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Fields Comprehensive Youth Services,Fields Comprehensive Youth Services 1,Approved,CDSS,6,San Bernardino,Unknown,Alta Loma,91701,MH/36/03/20,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Five Acres - The Boys' & Girls' Aid Society Of La,Five Acres Strtp Colby,Approved,CDSS,14,Los Angeles,Unknown,Altadena,91001,MH/19/10/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Five Acres - The Boys' & Girls' Aid Society Of La,Five Acres - Solita Home,Approved,CDSS,6,Los Angeles,Unknown,Pasadena,91103,MH/19/04/19,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Five Acres - The Boys' & Girls' Aid Society Of La,Five Acres,Approved,CDSS,16,Los Angeles,Unknown,Altadena,91001,MH/19/05/19,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent 9,Approved,CDSS,6,Los Angeles,Unknown,Carson,90746,MH/19/02/24,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent Care Facility 6,Approved,CDSS,6,Los Angeles,Unknown,Gardena,90249,MH/19/01/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent Care Facility 4,Approved,CDSS,6,Los Angeles,Unknown,Long Beach,90804,MH/19/04/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent Care Facility 3,Approved,CDSS,6,Los Angeles,Unknown,Hawthorne,90250,MH/19/02/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent Care Facility 2,Approved,CDSS,6,Los Angeles,Unknown,Lancaster,93536,MH/19/08/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent Care Facility,Approved,CDSS,6,Los Angeles,Unknown,Carson,90746,MH/19/03/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent 8,Approved,CDSS,6,Los Angeles,Unknown,Lancaster,93535,MH/19/06/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Fleming & Barnes Inc,Dimondale Adolescent 7,Approved,CDSS,6,Los Angeles,Unknown,Lancaster,93554,MH/19/07/22,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),For The Future Inc,For The Future Inc,Approved,CDSS,6,Ventura,Unknown,Simi Valley,93063,MH/56/01/20,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),Fred Finch Children'S Home Inc,Fred Finch Youth Center,Approved,CDSS,14,Alameda,Unknown,Oakland,94602,MH/01/01/19,California,"Alameda, California"
STRTP (Short-Term Residential Therapeutic Program),Fred Finch Youth Center,Fred Finch Youth Center-San Diego,Approved,CDSS,14,San Diego,Unknown,Lemon Grove,91945,MH/37/04/19,California,"San Diego, California"
STRTP (Short-Term Residential Therapeutic Program),Fresno Youth Care Homes Inc,Fresno Youth - Weldon House,Approved,CDSS,6,Fresno,Unknown,Fresno,93704,10F7,California,"Fresno, California"
STRTP (Short-Term Residential Therapeutic Program),Future Stars Youth Services,Future Stars Youth Services,Approved,CDSS,6,San Bernardino,Unknown,Mentone,92359,MH/35/05/23,California,"San Bernardino, California"
STRTP (Short-Term Residential Therapeutic Program),Garces Residential Care Services Inc,Bright Horizon,Approved,CDSS,6,Los Angeles,Unknown,Claremont,91711,MH/19/01/21,California,"Los Angeles, California"
STRTP (Short-Term Residential Therapeutic Program),Gateway Residential Programs,Gateway Residential Programs-Palm House,Approved,CDSS,6,Sacramento,Unknown,Fair Oaks,95628,MH/34/14/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Gateway Residential Programs,Gateway Residential Programs-Ginger Blossom House,Approved,CDSS,6,Sacramento,Unknown,Citrus Heights,95621,MH/34/16/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Gateway Residential Programs,Gateway Residential Programs - Hickory House,Approved,CDSS,6,Sacramento,Unknown,Orangevale,95826,MH/34/13/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Gateway Residential Programs,Gateway Residential Program-Fair Oaks House,Approved,CDSS,6,Sacramento,Unknown,Fair Oaks,95628,MH/34/12/20,California,"Sacramento, California"
STRTP (Short-Term Residential Therapeutic Program),Global Family Care Network Inc,Daughter Project Girls Home,Approved,CDSS,10,Kern,Unknown,Bakersfield,93313,MH/15/01/25,California,"Kern, California"
STRTP (Short-Term Residential Therapeutic Program),Greater New Beginnings,Filbert House,Approved,CDSS,12,Alameda,Unknown,Oakland,94607,MH/01/01/20,California,"Alameda, California"
STRTP (Short-Term Residential Therapeutic Program),Greenacre Homes Inc,Greenacre Homes Inc No 4 (Eddie Lane),Approved,CDSS,9,Sonoma,Unknown,Sebastopol,95472,MH/49/02/22,California,"Sonoma, California"
STRTP (Short-Term Residential Therapeutic Program),Guiding Light Home For Boys Inc,Guiding Light Home For Boys 2,Approved,CDSS,6,Riverside,Unknown,Moreno Valley,92555,MH/33/05/25,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Guiding Light Home For Boys Inc,Guiding Light Home For Boys,Approved,CDSS,6,Riverside,Unknown,Moreno Valley,92555,MH/33/02/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Guiding Our Youth,Guiding Our Youth,Approved,CDSS,6,Ventura,Unknown,Simi Valley,93065,MH/56/04/22,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),Guiding Our Youth,Guiding Our Youth,Approved,CDSS,6,Ventura,Unknown,Simi Valley,93065,MH/56/05/22,California,"Ventura, California"
STRTP (Short-Term Residential Therapeutic Program),Harvest Safe Haven For Boys,Harvest Safe Haven For Boys,Approved,CDSS,6,Riverside,Unknown,Riverside,92505,MH/33/12/21,California,"Riverside, California"
STRTP (Short-Term Residential Therapeutic Program),Hathaway-Sycamores Child And Family Services,Hathaway-Sycamores Child And Family Services,Approved,CDSS,16,Los Angeles,Unknown,Altadena,91001,MH/19/01/19,California,"Los Angeles, California"
